event_order,country,event_type,event_month,traffic_source,no_of_events
0,Belgium,cancel,2023-06-01 00:00:00.000000 UTC,Email,12
0,China,cancel,2023-08-01 00:00:00.000000 UTC,Email,294
0,China,cancel,2023-02-01 00:00:00.000000 UTC,Adwords,177
0,United States,cancel,2023-12-01 00:00:00.000000 UTC,Email,204
0,United States,cancel,2023-10-01 00:00:00.000000 UTC,Email,193
0,United States,cancel,2023-06-01 00:00:00.000000 UTC,Adwords,125
0,Belgium,cancel,2023-10-01 00:00:00.000000 UTC,Email,11
0,United States,cancel,2023-03-01 00:00:00.000000 UTC,Adwords,119
0,Japan,cancel,2023-10-01 00:00:00.000000 UTC,Adwords,14
0,United States,cancel,2023-11-01 00:00:00.000000 UTC,Email,192
0,Spain,cancel,2023-12-01 00:00:00.000000 UTC,Adwords,27
0,Spain,cancel,2023-06-01 00:00:00.000000 UTC,Adwords,30
0,Japan,cancel,2023-02-01 00:00:00.000000 UTC,YouTube,7
0,China,cancel,2023-02-01 00:00:00.000000 UTC,Organic,20
0,China,cancel,2023-11-01 00:00:00.000000 UTC,Adwords,194
0,China,cancel,2023-06-01 00:00:00.000000 UTC,Facebook,66
0,China,cancel,2023-06-01 00:00:00.000000 UTC,Organic,36
0,China,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,190
0,Brasil,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,72
0,China,cancel,2023-09-01 00:00:00.000000 UTC,YouTube,54
0,United States,cancel,2023-02-01 00:00:00.000000 UTC,Adwords,115
0,Brasil,cancel,2023-11-01 00:00:00.000000 UTC,Organic,16
0,United States,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,117
0,China,cancel,2023-06-01 00:00:00.000000 UTC,Email,285
0,Japan,cancel,2023-07-01 00:00:00.000000 UTC,Email,28
0,Japan,cancel,2023-11-01 00:00:00.000000 UTC,Email,15
0,Spain,cancel,2023-04-01 00:00:00.000000 UTC,Email,39
0,United States,cancel,2023-04-01 00:00:00.000000 UTC,Adwords,137
0,South Korea,cancel,2023-06-01 00:00:00.000000 UTC,Adwords,31
0,South Korea,cancel,2023-04-01 00:00:00.000000 UTC,Facebook,13
0,Brasil,cancel,2023-04-01 00:00:00.000000 UTC,Adwords,81
0,Japan,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,13
0,Japan,cancel,2023-10-01 00:00:00.000000 UTC,Email,20
0,China,cancel,2023-10-01 00:00:00.000000 UTC,Adwords,199
0,Germany,cancel,2023-01-01 00:00:00.000000 UTC,Email,28
0,Brasil,cancel,2023-08-01 00:00:00.000000 UTC,Adwords,69
0,France,cancel,2023-10-01 00:00:00.000000 UTC,Email,32
0,Japan,cancel,2023-02-01 00:00:00.000000 UTC,Email,20
0,Brasil,cancel,2023-04-01 00:00:00.000000 UTC,Email,126
0,Brasil,cancel,2023-09-01 00:00:00.000000 UTC,Email,119
0,Germany,cancel,2023-10-01 00:00:00.000000 UTC,Email,34
0,Brasil,cancel,2023-12-01 00:00:00.000000 UTC,Email,109
0,Brasil,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,89
0,South Korea,cancel,2023-06-01 00:00:00.000000 UTC,Email,35
0,Brasil,cancel,2023-11-01 00:00:00.000000 UTC,Email,124
0,South Korea,cancel,2023-12-01 00:00:00.000000 UTC,Email,36
0,South Korea,cancel,2023-07-01 00:00:00.000000 UTC,Adwords,28
0,South Korea,cancel,2023-10-01 00:00:00.000000 UTC,Email,48
0,Spain,cancel,2023-10-01 00:00:00.000000 UTC,Email,36
0,South Korea,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,30
0,South Korea,cancel,2023-03-01 00:00:00.000000 UTC,Email,58
0,South Korea,cancel,2023-04-01 00:00:00.000000 UTC,Adwords,28
0,South Korea,cancel,2023-08-01 00:00:00.000000 UTC,Adwords,23
0,Spain,cancel,2023-12-01 00:00:00.000000 UTC,Organic,4
0,Brasil,cancel,2023-10-01 00:00:00.000000 UTC,Adwords,93
0,Brasil,cancel,2023-08-01 00:00:00.000000 UTC,Email,118
0,Japan,cancel,2023-11-01 00:00:00.000000 UTC,Adwords,10
0,Japan,cancel,2023-04-01 00:00:00.000000 UTC,YouTube,9
0,South Korea,cancel,2023-11-01 00:00:00.000000 UTC,Email,40
0,South Korea,cancel,2023-01-01 00:00:00.000000 UTC,YouTube,14
0,South Korea,cancel,2023-07-01 00:00:00.000000 UTC,Email,45
0,South Korea,cancel,2023-09-01 00:00:00.000000 UTC,Email,46
0,Belgium,cancel,2023-05-01 00:00:00.000000 UTC,Email,10
0,Japan,cancel,2023-12-01 00:00:00.000000 UTC,Adwords,15
0,Japan,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,14
0,Belgium,cancel,2023-12-01 00:00:00.000000 UTC,Email,7
0,United States,cancel,2023-02-01 00:00:00.000000 UTC,Email,154
0,China,cancel,2023-08-01 00:00:00.000000 UTC,Facebook,66
0,China,cancel,2023-11-01 00:00:00.000000 UTC,Facebook,71
0,China,cancel,2023-10-01 00:00:00.000000 UTC,Facebook,69
0,United States,cancel,2023-01-01 00:00:00.000000 UTC,Email,183
0,South Korea,cancel,2023-06-01 00:00:00.000000 UTC,YouTube,10
0,South Korea,cancel,2023-04-01 00:00:00.000000 UTC,Email,35
0,United States,cancel,2023-08-01 00:00:00.000000 UTC,Email,213
0,South Korea,cancel,2023-03-01 00:00:00.000000 UTC,Adwords,30
0,South Korea,cancel,2023-05-01 00:00:00.000000 UTC,Email,59
0,Japan,cancel,2023-06-01 00:00:00.000000 UTC,Adwords,12
0,China,cancel,2023-12-01 00:00:00.000000 UTC,Email,297
0,South Korea,cancel,2023-09-01 00:00:00.000000 UTC,YouTube,17
0,South Korea,cancel,2023-11-01 00:00:00.000000 UTC,Adwords,31
0,Japan,cancel,2023-08-01 00:00:00.000000 UTC,Facebook,5
0,United States,cancel,2023-01-01 00:00:00.000000 UTC,Organic,21
0,United States,cancel,2023-05-01 00:00:00.000000 UTC,Email,183
0,Spain,cancel,2023-05-01 00:00:00.000000 UTC,Adwords,22
0,United States,cancel,2023-06-01 00:00:00.000000 UTC,Email,184
0,Belgium,cancel,2023-05-01 00:00:00.000000 UTC,Facebook,2
0,Spain,cancel,2023-03-01 00:00:00.000000 UTC,Email,28
0,Japan,cancel,2023-06-01 00:00:00.000000 UTC,Email,26
0,Brasil,cancel,2023-04-01 00:00:00.000000 UTC,YouTube,30
0,Germany,cancel,2023-11-01 00:00:00.000000 UTC,Email,34
0,United States,cancel,2023-05-01 00:00:00.000000 UTC,Adwords,116
0,Germany,cancel,2023-12-01 00:00:00.000000 UTC,Email,32
0,Japan,cancel,2023-12-01 00:00:00.000000 UTC,Facebook,9
0,United States,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,136
0,Germany,cancel,2023-06-01 00:00:00.000000 UTC,Facebook,9
0,United States,cancel,2023-10-01 00:00:00.000000 UTC,Adwords,105
0,Belgium,cancel,2023-11-01 00:00:00.000000 UTC,Email,10
0,China,cancel,2023-01-01 00:00:00.000000 UTC,Facebook,54
0,China,cancel,2023-04-01 00:00:00.000000 UTC,Organic,31
0,China,cancel,2023-04-01 00:00:00.000000 UTC,Facebook,78
0,China,cancel,2023-09-01 00:00:00.000000 UTC,Facebook,62
0,Spain,cancel,2023-07-01 00:00:00.000000 UTC,Adwords,29
0,China,cancel,2023-06-01 00:00:00.000000 UTC,Adwords,172
0,China,cancel,2023-04-01 00:00:00.000000 UTC,YouTube,64
0,China,cancel,2023-11-01 00:00:00.000000 UTC,YouTube,72
0,Spain,cancel,2023-08-01 00:00:00.000000 UTC,Email,39
0,United States,cancel,2023-09-01 00:00:00.000000 UTC,Email,197
0,France,cancel,2023-06-01 00:00:00.000000 UTC,Email,24
0,United States,cancel,2023-04-01 00:00:00.000000 UTC,Facebook,35
0,China,cancel,2023-10-01 00:00:00.000000 UTC,Organic,30
0,United States,cancel,2023-03-01 00:00:00.000000 UTC,Email,176
0,Australia,cancel,2023-09-01 00:00:00.000000 UTC,Facebook,7
0,Australia,cancel,2023-11-01 00:00:00.000000 UTC,Email,20
0,China,cancel,2023-03-01 00:00:00.000000 UTC,YouTube,57
0,Germany,cancel,2023-07-01 00:00:00.000000 UTC,Adwords,26
0,Australia,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,18
0,Germany,cancel,2023-08-01 00:00:00.000000 UTC,Facebook,8
0,United States,cancel,2023-07-01 00:00:00.000000 UTC,Email,200
0,Australia,cancel,2023-02-01 00:00:00.000000 UTC,Email,18
0,Australia,cancel,2023-09-01 00:00:00.000000 UTC,Email,21
0,Australia,cancel,2023-05-01 00:00:00.000000 UTC,Email,18
0,Belgium,cancel,2023-07-01 00:00:00.000000 UTC,Email,12
0,Germany,cancel,2023-03-01 00:00:00.000000 UTC,Email,30
0,Belgium,cancel,2023-02-01 00:00:00.000000 UTC,Adwords,14
0,China,cancel,2023-02-01 00:00:00.000000 UTC,YouTube,54
0,Japan,cancel,2023-03-01 00:00:00.000000 UTC,Adwords,15
0,Japan,cancel,2023-05-01 00:00:00.000000 UTC,Facebook,5
0,Japan,cancel,2023-04-01 00:00:00.000000 UTC,Adwords,21
0,China,cancel,2023-02-01 00:00:00.000000 UTC,Facebook,62
0,Brasil,cancel,2023-12-01 00:00:00.000000 UTC,YouTube,28
0,France,cancel,2023-11-01 00:00:00.000000 UTC,Email,40
0,China,cancel,2023-09-01 00:00:00.000000 UTC,Organic,31
0,Australia,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,10
0,Japan,cancel,2023-04-01 00:00:00.000000 UTC,Email,14
0,Japan,cancel,2023-08-01 00:00:00.000000 UTC,Email,24
0,Brasil,cancel,2023-04-01 00:00:00.000000 UTC,Facebook,23
0,Germany,cancel,2023-06-01 00:00:00.000000 UTC,Organic,8
0,Australia,cancel,2023-03-01 00:00:00.000000 UTC,Facebook,12
0,Australia,cancel,2023-12-01 00:00:00.000000 UTC,Email,21
0,Australia,cancel,2023-10-01 00:00:00.000000 UTC,Email,9
0,Japan,cancel,2023-06-01 00:00:00.000000 UTC,Facebook,6
0,Japan,cancel,2023-05-01 00:00:00.000000 UTC,Adwords,18
0,Spain,cancel,2023-12-01 00:00:00.000000 UTC,Email,34
0,Australia,cancel,2023-01-01 00:00:00.000000 UTC,Facebook,3
0,Germany,cancel,2023-02-01 00:00:00.000000 UTC,Email,36
0,China,cancel,2023-01-01 00:00:00.000000 UTC,YouTube,72
0,France,cancel,2023-11-01 00:00:00.000000 UTC,Adwords,31
0,Japan,cancel,2023-07-01 00:00:00.000000 UTC,YouTube,6
0,Australia,cancel,2023-08-01 00:00:00.000000 UTC,YouTube,5
0,Australia,cancel,2023-01-01 00:00:00.000000 UTC,Email,14
0,Australia,cancel,2023-03-01 00:00:00.000000 UTC,YouTube,4
0,Spain,cancel,2023-11-01 00:00:00.000000 UTC,Adwords,36
0,Spain,cancel,2023-01-01 00:00:00.000000 UTC,Email,47
0,Spain,cancel,2023-06-01 00:00:00.000000 UTC,Facebook,8
0,Brasil,cancel,2023-09-01 00:00:00.000000 UTC,Facebook,21
0,United States,cancel,2023-09-01 00:00:00.000000 UTC,Facebook,31
0,United States,cancel,2023-11-01 00:00:00.000000 UTC,Adwords,119
0,Spain,cancel,2023-10-01 00:00:00.000000 UTC,Adwords,23
0,France,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,29
0,Germany,cancel,2023-11-01 00:00:00.000000 UTC,Adwords,25
0,Spain,cancel,2023-03-01 00:00:00.000000 UTC,YouTube,5
0,United States,cancel,2023-09-01 00:00:00.000000 UTC,YouTube,46
0,France,cancel,2023-08-01 00:00:00.000000 UTC,Email,45
0,Australia,cancel,2023-06-01 00:00:00.000000 UTC,Email,23
0,Brasil,cancel,2023-10-01 00:00:00.000000 UTC,Email,142
0,South Korea,cancel,2023-02-01 00:00:00.000000 UTC,Facebook,14
0,United States,cancel,2023-08-01 00:00:00.000000 UTC,Adwords,113
0,United States,cancel,2023-04-01 00:00:00.000000 UTC,Email,168
0,Germany,cancel,2023-09-01 00:00:00.000000 UTC,YouTube,12
0,Spain,cancel,2023-03-01 00:00:00.000000 UTC,Organic,6
0,Australia,cancel,2023-03-01 00:00:00.000000 UTC,Organic,4
0,France,cancel,2023-02-01 00:00:00.000000 UTC,Facebook,11
0,Germany,cancel,2023-05-01 00:00:00.000000 UTC,Email,42
0,Australia,cancel,2023-12-01 00:00:00.000000 UTC,Adwords,16
0,France,cancel,2023-04-01 00:00:00.000000 UTC,Email,37
0,China,cancel,2023-07-01 00:00:00.000000 UTC,Organic,31
0,France,cancel,2023-12-01 00:00:00.000000 UTC,Email,54
0,Germany,cancel,2023-07-01 00:00:00.000000 UTC,Email,33
0,Deutschland,cancel,2023-07-01 00:00:00.000000 UTC,Email,7
0,Deutschland,cancel,2023-07-01 00:00:00.000000 UTC,Adwords,11
0,Deutschland,cancel,2023-03-01 00:00:00.000000 UTC,Email,6
0,United States,cancel,2023-12-01 00:00:00.000000 UTC,YouTube,48
0,China,cancel,2023-07-01 00:00:00.000000 UTC,Facebook,53
0,Spain,cancel,2023-05-01 00:00:00.000000 UTC,Email,30
0,United States,cancel,2023-10-01 00:00:00.000000 UTC,Organic,35
0,China,cancel,2023-05-01 00:00:00.000000 UTC,Facebook,63
0,United States,cancel,2023-07-01 00:00:00.000000 UTC,Organic,22
0,South Korea,cancel,2023-07-01 00:00:00.000000 UTC,Facebook,11
0,United States,cancel,2023-07-01 00:00:00.000000 UTC,Facebook,47
0,Spain,cancel,2023-01-01 00:00:00.000000 UTC,Facebook,10
0,France,cancel,2023-01-01 00:00:00.000000 UTC,Facebook,8
0,United States,cancel,2023-05-01 00:00:00.000000 UTC,Facebook,54
0,Germany,cancel,2023-10-01 00:00:00.000000 UTC,Organic,5
0,Deutschland,cancel,2023-10-01 00:00:00.000000 UTC,Organic,3
0,Deutschland,cancel,2023-02-01 00:00:00.000000 UTC,Email,10
0,Spain,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,15
0,France,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,25
0,Japan,cancel,2023-05-01 00:00:00.000000 UTC,YouTube,8
0,China,cancel,2023-03-01 00:00:00.000000 UTC,Organic,22
0,Japan,cancel,2023-01-01 00:00:00.000000 UTC,Organic,3
0,France,cancel,2023-01-01 00:00:00.000000 UTC,YouTube,12
0,Australia,cancel,2023-05-01 00:00:00.000000 UTC,Adwords,16
0,Brasil,cancel,2023-02-01 00:00:00.000000 UTC,YouTube,25
0,United States,cancel,2023-08-01 00:00:00.000000 UTC,YouTube,40
0,South Korea,cancel,2023-03-01 00:00:00.000000 UTC,YouTube,9
0,France,cancel,2023-02-01 00:00:00.000000 UTC,Adwords,21
0,Brasil,cancel,2023-12-01 00:00:00.000000 UTC,Adwords,82
0,Spain,cancel,2023-03-01 00:00:00.000000 UTC,Adwords,19
0,United States,cancel,2023-12-01 00:00:00.000000 UTC,Facebook,43
0,France,cancel,2023-05-01 00:00:00.000000 UTC,Email,42
0,Brasil,cancel,2023-01-01 00:00:00.000000 UTC,YouTube,36
0,France,cancel,2023-01-01 00:00:00.000000 UTC,Organic,3
0,France,cancel,2023-04-01 00:00:00.000000 UTC,Facebook,9
0,Belgium,cancel,2023-08-01 00:00:00.000000 UTC,Adwords,11
0,United States,cancel,2023-04-01 00:00:00.000000 UTC,YouTube,38
0,Spain,cancel,2023-02-01 00:00:00.000000 UTC,Adwords,23
0,South Korea,cancel,2023-07-01 00:00:00.000000 UTC,Organic,6
0,Brasil,cancel,2023-04-01 00:00:00.000000 UTC,Organic,17
0,Brasil,cancel,2023-08-01 00:00:00.000000 UTC,Facebook,32
0,Brasil,cancel,2023-07-01 00:00:00.000000 UTC,Adwords,84
0,Brasil,cancel,2023-03-01 00:00:00.000000 UTC,Adwords,81
0,United States,cancel,2023-08-01 00:00:00.000000 UTC,Facebook,37
0,South Korea,cancel,2023-02-01 00:00:00.000000 UTC,Email,51
0,South Korea,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,41
0,Germany,cancel,2023-01-01 00:00:00.000000 UTC,Organic,2
0,Deutschland,cancel,2023-01-01 00:00:00.000000 UTC,Organic,2
0,Germany,cancel,2023-02-01 00:00:00.000000 UTC,YouTube,10
0,Deutschland,cancel,2023-02-01 00:00:00.000000 UTC,YouTube,3
0,Germany,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,23
0,Deutschland,cancel,2023-01-01 00:00:00.000000 UTC,Adwords,8
0,Deutschland,cancel,2023-08-01 00:00:00.000000 UTC,Facebook,3
0,South Korea,cancel,2023-08-01 00:00:00.000000 UTC,Email,49
0,Japan,cancel,2023-01-01 00:00:00.000000 UTC,Email,19
0,South Korea,cancel,2023-01-01 00:00:00.000000 UTC,Email,60
0,South Korea,cancel,2023-04-01 00:00:00.000000 UTC,YouTube,7
0,South Korea,cancel,2023-10-01 00:00:00.000000 UTC,Adwords,22
0,France,cancel,2023-03-01 00:00:00.000000 UTC,YouTube,8
0,Brasil,cancel,2023-01-01 00:00:00.000000 UTC,Facebook,26
0,Brasil,cancel,2023-05-01 00:00:00.000000 UTC,YouTube,31
0,South Korea,cancel,2023-09-01 00:00:00.000000 UTC,Organic,2
0,South Korea,cancel,2023-05-01 00:00:00.000000 UTC,Adwords,20
0,Australia,cancel,2023-02-01 00:00:00.000000 UTC,Organic,2
0,South Korea,cancel,2023-10-01 00:00:00.000000 UTC,Facebook,10
0,Australia,cancel,2023-01-01 00:00:00.000000 UTC,Organic,2
0,Germany,cancel,2023-08-01 00:00:00.000000 UTC,Email,43
0,Deutschland,cancel,2023-08-01 00:00:00.000000 UTC,Email,16
0,France,cancel,2023-02-01 00:00:00.000000 UTC,Email,30
0,South Korea,cancel,2023-12-01 00:00:00.000000 UTC,Facebook,9
0,South Korea,cancel,2023-01-01 00:00:00.000000 UTC,Facebook,10
0,France,cancel,2023-07-01 00:00:00.000000 UTC,Facebook,5
0,China,cancel,2023-08-01 00:00:00.000000 UTC,Organic,33
0,Australia,cancel,2023-08-01 00:00:00.000000 UTC,Adwords,14
0,Brasil,cancel,2023-02-01 00:00:00.000000 UTC,Email,99
0,Australia,cancel,2023-03-01 00:00:00.000000 UTC,Email,26
0,Germany,cancel,2023-06-01 00:00:00.000000 UTC,Email,37
0,Deutschland,cancel,2023-06-01 00:00:00.000000 UTC,Email,13
0,Brasil,cancel,2023-05-01 00:00:00.000000 UTC,Adwords,76
0,Brasil,cancel,2023-07-01 00:00:00.000000 UTC,Organic,15
0,Spain,cancel,2023-12-01 00:00:00.000000 UTC,YouTube,12
0,United States,cancel,2023-01-01 00:00:00.000000 UTC,YouTube,42
0,China,cancel,2023-08-01 00:00:00.000000 UTC,YouTube,69
0,United States,cancel,2023-11-01 00:00:00.000000 UTC,YouTube,40
0,Spain,cancel,2023-07-01 00:00:00.000000 UTC,Email,41
0,Belgium,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,6
0,Germany,cancel,2023-03-01 00:00:00.000000 UTC,Adwords,23
0,Deutschland,cancel,2023-03-01 00:00:00.000000 UTC,Adwords,11
0,Germany,cancel,2023-04-01 00:00:00.000000 UTC,YouTube,14
0,Deutschland,cancel,2023-04-01 00:00:00.000000 UTC,YouTube,5
0,South Korea,cancel,2023-06-01 00:00:00.000000 UTC,Facebook,11
0,South Korea,cancel,2023-12-01 00:00:00.000000 UTC,Adwords,28
0,Deutschland,cancel,2023-01-01 00:00:00.000000 UTC,Email,9
0,Germany,cancel,2023-07-01 00:00:00.000000 UTC,YouTube,8
0,Deutschland,cancel,2023-07-01 00:00:00.000000 UTC,YouTube,4
0,United States,cancel,2023-09-01 00:00:00.000000 UTC,Organic,19
0,Germany,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,23
0,Deutschland,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,8
0,Spain,cancel,2023-06-01 00:00:00.000000 UTC,Email,39
0,France,cancel,2023-02-01 00:00:00.000000 UTC,YouTube,12
0,France,cancel,2023-01-01 00:00:00.000000 UTC,Email,43
0,Australia,cancel,2023-12-01 00:00:00.000000 UTC,Organic,2
0,Germany,cancel,2023-12-01 00:00:00.000000 UTC,YouTube,6
0,Deutschland,cancel,2023-12-01 00:00:00.000000 UTC,YouTube,3
0,South Korea,cancel,2023-11-01 00:00:00.000000 UTC,Facebook,13
0,Deutschland,cancel,2023-12-01 00:00:00.000000 UTC,Email,11
0,Australia,cancel,2023-04-01 00:00:00.000000 UTC,YouTube,1
0,Australia,cancel,2023-07-01 00:00:00.000000 UTC,Email,19
0,Germany,cancel,2023-09-01 00:00:00.000000 UTC,Facebook,9
0,Deutschland,cancel,2023-09-01 00:00:00.000000 UTC,Facebook,4
0,China,cancel,2023-01-01 00:00:00.000000 UTC,Organic,27
0,Germany,cancel,2023-11-01 00:00:00.000000 UTC,YouTube,10
0,Deutschland,cancel,2023-11-01 00:00:00.000000 UTC,YouTube,5
0,China,cancel,2023-03-01 00:00:00.000000 UTC,Facebook,70
0,China,cancel,2023-05-01 00:00:00.000000 UTC,Organic,50
0,China,cancel,2023-12-01 00:00:00.000000 UTC,Organic,38
0,Germany,cancel,2023-10-01 00:00:00.000000 UTC,Adwords,18
0,Deutschland,cancel,2023-10-01 00:00:00.000000 UTC,Adwords,7
0,United States,cancel,2023-07-01 00:00:00.000000 UTC,Adwords,120
0,United States,cancel,2023-03-01 00:00:00.000000 UTC,YouTube,46
0,China,cancel,2023-07-01 00:00:00.000000 UTC,YouTube,62
0,Japan,cancel,2023-12-01 00:00:00.000000 UTC,Email,24
0,Germany,cancel,2023-08-01 00:00:00.000000 UTC,Adwords,17
0,France,cancel,2023-03-01 00:00:00.000000 UTC,Adwords,22
0,France,cancel,2023-04-01 00:00:00.000000 UTC,Adwords,20
0,France,cancel,2023-05-01 00:00:00.000000 UTC,Organic,3
0,Deutschland,cancel,2023-10-01 00:00:00.000000 UTC,Email,10
0,United States,cancel,2023-02-01 00:00:00.000000 UTC,YouTube,45
0,Brasil,cancel,2023-07-01 00:00:00.000000 UTC,Facebook,30
0,Brasil,cancel,2023-10-01 00:00:00.000000 UTC,YouTube,21
0,Brasil,cancel,2023-07-01 00:00:00.000000 UTC,YouTube,16
0,Poland,cancel,2023-08-01 00:00:00.000000 UTC,Email,2
0,Poland,cancel,2023-12-01 00:00:00.000000 UTC,Adwords,2
0,Poland,cancel,2023-05-01 00:00:00.000000 UTC,Adwords,2
0,France,cancel,2023-06-01 00:00:00.000000 UTC,Adwords,26
0,South Korea,cancel,2023-08-01 00:00:00.000000 UTC,Facebook,9
0,United States,cancel,2023-10-01 00:00:00.000000 UTC,Facebook,34
0,United States,cancel,2023-11-01 00:00:00.000000 UTC,Facebook,31
0,Brasil,cancel,2023-10-01 00:00:00.000000 UTC,Organic,11
0,South Korea,cancel,2023-02-01 00:00:00.000000 UTC,Adwords,27
0,Australia,cancel,2023-10-01 00:00:00.000000 UTC,Adwords,13
0,Australia,cancel,2023-04-01 00:00:00.000000 UTC,Facebook,5
0,Germany,cancel,2023-04-01 00:00:00.000000 UTC,Email,34
0,Brasil,cancel,2023-05-01 00:00:00.000000 UTC,Organic,16
0,Brasil,cancel,2023-03-01 00:00:00.000000 UTC,Organic,12
0,Germany,cancel,2023-02-01 00:00:00.000000 UTC,Adwords,31
0,United States,cancel,2023-06-01 00:00:00.000000 UTC,Facebook,41
0,Brasil,cancel,2023-03-01 00:00:00.000000 UTC,YouTube,28
0,Brasil,cancel,2023-01-01 00:00:00.000000 UTC,Organic,12
0,Brasil,cancel,2023-06-01 00:00:00.000000 UTC,Facebook,29
0,Japan,cancel,2023-03-01 00:00:00.000000 UTC,YouTube,6
0,Belgium,cancel,2023-04-01 00:00:00.000000 UTC,YouTube,3
0,Germany,cancel,2023-11-01 00:00:00.000000 UTC,Facebook,5
0,Brasil,cancel,2023-06-01 00:00:00.000000 UTC,Organic,13
0,Brasil,cancel,2023-10-01 00:00:00.000000 UTC,Facebook,34
0,Brasil,cancel,2023-11-01 00:00:00.000000 UTC,YouTube,17
0,Colombia,cancel,2023-07-01 00:00:00.000000 UTC,Adwords,3
0,Colombia,cancel,2023-12-01 00:00:00.000000 UTC,Email,3
0,Colombia,cancel,2023-06-01 00:00:00.000000 UTC,Email,6
0,Colombia,cancel,2023-01-01 00:00:00.000000 UTC,Email,2
0,Colombia,cancel,2023-06-01 00:00:00.000000 UTC,Facebook,1
0,Colombia,cancel,2023-08-01 00:00:00.000000 UTC,Adwords,3
0,Brasil,cancel,2023-08-01 00:00:00.000000 UTC,YouTube,29
0,Colombia,cancel,2023-08-01 00:00:00.000000 UTC,YouTube,3
0,South Korea,cancel,2023-05-01 00:00:00.000000 UTC,Facebook,11
0,Colombia,cancel,2023-09-01 00:00:00.000000 UTC,Email,4
0,Spain,cancel,2023-10-01 00:00:00.000000 UTC,YouTube,6
0,Spain,cancel,2023-10-01 00:00:00.000000 UTC,Organic,6
0,Germany,cancel,2023-05-01 00:00:00.000000 UTC,YouTube,8
0,China,cancel,2023-11-01 00:00:00.000000 UTC,Organic,34
0,United States,cancel,2023-12-01 00:00:00.000000 UTC,Adwords,114
0,France,cancel,2023-12-01 00:00:00.000000 UTC,YouTube,8
0,United States,cancel,2023-02-01 00:00:00.000000 UTC,Facebook,36
0,United States,cancel,2023-01-01 00:00:00.000000 UTC,Facebook,49
0,Germany,cancel,2023-06-01 00:00:00.000000 UTC,YouTube,6
0,United States,cancel,2023-06-01 00:00:00.000000 UTC,YouTube,40
